onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0788160455676916	3	1	CORRECTLY	3.57519061843232	21	SURE_INCORRECT	3	6	0.0788160455676916
4.52196657966215	3	2	INCORRECTLY	2.58779518533811	28	MAYBE_CORRECT	55	0	4.52196657966215
13.0105829135673	2	3	CONTROL	1.79479616743265	5	n/a	1000	0	13.0105829135673
16.0777268744714	3	4	CORRECTLY	2.35816232352863	5	SURE_CORRECT	12	0	16.0777268744714
21.0183887357607	3	5	CORRECTLY	1.83877069423943	5	SURE_CORRECT	8	15	21.0183887357607
25.0636355586166	2	6	CONTROL	1.68878719738314	28	n/a	1000	0	25.0636355586166
29.0094941444713	3	7	INCORRECTLY	2.1444495755286	28	MAYBE_CORRECT	59	0	29.0094941444713
36.0224351406623	3	8	CORRECTLY	1.97188298633773	21	SURE_INCORRECT	7	13	36.0224351406623
40.5154935646651	3	9	INCORRECTLY	1.54477820433476	21	SURE_INCORRECT	68	0	40.5154935646651
47.0144594775675	3	10	INCORRECTLY	2.367296456433	10	MAYBE_INCORRECT	64	0	47.0144594775675
51.0598269854718	3	11	CORRECTLY	2.34840978152806	10	MAYBE_INCORRECT	6	12	51.0598269854718
56.0170519685671	2	12	CONTROL	1.35854957543324	5	n/a	1000	0	56.0170519685671
61.5213131404716	3	13	INCORRECTLY	2.25036319452829	21	SURE_INCORRECT	78	0	61.5213131404716
65.5666841317607	3	14	CORRECTLY	2.49564249023933	28	MAYBE_CORRECT	16	31	65.5666841317607
69.5622282914719	3	15	CORRECTLY	1.40637775852792	28	MAYBE_CORRECT	14	0	69.5622282914719
75.0167297054713	3	16	CORRECTLY	0.00873489252899162	28	MAYBE_CORRECT	1	3	75.0167297054713
79.0786664614716	3	17	CORRECTLY	1.81672650652854	28	MAYBE_CORRECT	5	11	79.0786664614716
83.5053602937114	3	18	INCORRECTLY	1.58015894328855	28	MAYBE_CORRECT	51	0	83.5053602937114
90.0209715344718	3	19	INCORRECTLY	2.63609632752832	21	SURE_INCORRECT	47	0	90.0209715344718
94.0663298786167	3	20	INCORRECTLY	1.49834831338376	21	SURE_INCORRECT	66	0	94.0663298786167
99.0234318905677	3	21	CORRECTLY	1.98973664343248	28	MAYBE_CORRECT	10	20	99.0234318905677
103.068892202236	3	22	INCORRECTLY	1.54519518476354	28	MAYBE_CORRECT	48	0	103.068892202236
107.064378658567	3	23	INCORRECTLY	1.7947988244332	5	SURE_CORRECT	52	0	107.064378658567
115.022341920568	3	24	INCORRECTLY	1.94490754143226	21	SURE_INCORRECT	45	0	115.022341920568
119.515368842567	3	25	CORRECTLY	1.89830138943307	28	MAYBE_CORRECT	9	18	119.515368842567
125.517058065471	3	26	INCORRECTLY	1.85218389052898	10	MAYBE_INCORRECT	42	0	125.517058065471
131.021309100567	3	27	INCORRECTLY	1.75667334943319	28	MAYBE_CORRECT	80	0	131.021309100567
137.006407717282	3	28	CORRECTLY	3.22640398971816	21	SURE_INCORRECT	2	5	137.006407717282
142.013270200472	2	29	CONTROL	2.13227001552787	10	n/a	1000	0	142.013270200472
145.063950516331	3	30	INCORRECTLY	1.66182138666954	28	MAYBE_CORRECT	56	0	145.063950516331
150.518408894567	3	31	INCORRECTLY	1.62894604443318	21	SURE_INCORRECT	43	0	150.518408894567
155.011444357472	3	32	INCORRECTLY	1.13639942452846	21	SURE_INCORRECT	58	0	155.011444357472
159.520966208806	3	33	CORRECTLY	2.66032136919421	28	MAYBE_CORRECT	4	9	159.520966208806
167.014787291377	3	34	CORRECTLY	1.90971689262369	28	MAYBE_CORRECT	13	0	167.014787291377
173.513743963567	3	35	CORRECTLY	1.56783949443252	28	MAYBE_CORRECT	11	21	173.513743963567
178.520734270567	3	36	CORRECTLY	2.49281138543301	21	SURE_INCORRECT	15	30	178.520734270567
182.566071199567	3	37	INCORRECTLY	2.15810357643295	5	SURE_CORRECT	46	0	182.566071199567
188.517932542567	2	38	CONTROL	0.911576771432919	28	n/a	1000	0	188.517932542567
193.524831784662	2	39	CONTROL	0.889781703338485	28	n/a	1000	0	193.524831784662
198.017795616662	3	40	INCORRECTLY	1.91176423133857	28	MAYBE_CORRECT	62	0	198.017795616662
203.024814542711	2	41	CONTROL	1.416804576289	5	n/a	1000	0	203.024814542711
207.517699858472	2	42	CONTROL	0.911581595528332	21	n/a	1000	0	207.517699858472
211.015922164567	2	43	CONTROL	1.089974421433	28	n/a	1000	0	211.015922164567
218.509812284711	3	44	INCORRECTLY	0.00782193028862821	28	MAYBE_CORRECT	49	0	218.509812284711
224.014026964567	3	45	CORRECTLY	1.95843179243275	21	SURE_INCORRECT	27	47	224.014026964567
229.518315930567	3	46	CORRECTLY	2.20303233743289	28	MAYBE_CORRECT	30	53	229.518315930567
235.022670956568	3	47	INCORRECTLY	1.58064423943233	21	SURE_INCORRECT	75	0	235.022670956568
244.522492634567	3	48	CORRECTLY	2.62457019443264	28	MAYBE_CORRECT	35	58	244.522492634567
252.016340199471	3	49	CORRECTLY	2.57934835952892	21	SURE_INCORRECT	32	55	252.016340199471
256.078180750472	2	50	CONTROL	1.59167179452834	21	n/a	1000	0	256.078180750472
259.079065953567	3	51	INCORRECTLY	2.01367827943341	21	SURE_INCORRECT	70	0	259.079065953567
267.020531309568	2	52	CONTROL	0.806520922432355	21	n/a	1000	0	267.020531309568
272.508255172665	3	53	INCORRECTLY	2.21178297233473	21	SURE_INCORRECT	79	0	272.508255172665
277.515110165567	3	54	INCORRECTLY	1.88555064143293	21	SURE_INCORRECT	65	0	277.515110165567
282.008030319567	2	55	CONTROL	1.69721408543319	5	n/a	1000	0	282.008030319567
285.075256590662	3	56	INCORRECTLY	1.49828350233747	5	SURE_CORRECT	53	0	285.075256590662
292.021942389567	3	57	INCORRECTLY	1.63672704843339	21	SURE_INCORRECT	76	0	292.021942389567
296.067285345662	2	58	CONTROL	1.03930575133836	5	n/a	1000	0	296.067285345662
300.013220151665	3	59	INCORRECTLY	1.52072311233496	5	SURE_CORRECT	41	0	300.013220151665
305.517334318663	2	60	CONTROL	1.89761786733743	10	n/a	1000	0	305.517334318663
310.026936033567	3	61	INCORRECTLY	2.43404923443359	5	SURE_CORRECT	63	0	310.026936033567
318.018127797567	3	62	CORRECTLY	1.4871932824326	21	SURE_INCORRECT	38	61	318.018127797567
325.014468274662	3	63	CORRECTLY	1.93341455233804	28	MAYBE_CORRECT	24	41	325.014468274662
