onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0313558411535269	9.48331849700025	6	3	4.5	1.27341433884612	CORRECT	2	28	1.98954214526293	3.0008165649997	0.0313558411535269
11.5207828764169	7.99108063773656	8	5	3	1.29540477811042	CORRECT	1	5	1.98947926073652	3.00080597926353	11.5207828764169
21.5179970371537	7.99113974747252	2	1	3	0.755247059636531	CORRECT	1	5	2.00603344347292	3.00081683526241	21.5179970371537
31.5151858986264	8.00781642226411	5	3	3	1.28169237810926	INCORRECT	2	5	2.00614516926362	3.00088241499998	31.5151858986264
43.5186302508901	9.49984795226374	3	1	4.5	0.649478362110131	CORRECT	1	5	2.00600843200027	3.00079730926336	43.5186302508901
59.0200937078898	6.4990462587366	1	1	1.5	1.83312302784634	CORRECT	2	28	2.0061604462644	3.00074620147279	59.0200937078898
71.5208181738899	9.4999134690006	12	7	4.5	2.32830329884655	CORRECT	2	28	2.00616619052653	3.0008661247366	71.5208181738899
85.0163109508903	9.49988365299942	6	3	4.5	1.14084751484643	INCORRECT	1	28	2.00612376673598	3.00080865573545	85.0163109508903
96.5222937771541	9.48332178199962	9	5	4.5	0.730853093109545	CORRECT	2	28	2.00617418699949	2.98428961126319	96.5222937771541
110.017733874626	8.02440011452745	11	7	3	n/a	NO_RESPONSE	2	n/a	2.00609781200001	3.03405570299947	110.017733874626
126.016712988891	8.00776360152577	8	5	3	2.138806196107	INCORRECT	2	5	2.0060234307357	3.01737608052281	126.016712988891
138.019990500627	9.49998895726731	9	5	4.5	0.790052713109617	INCORRECT	1	28	2.0061171387897	3.00089432000368	138.019990500627
151.515444512153	6.49908238447279	4	3	1.5	1.0592053268465	CORRECT	1	5	2.00612251273651	3.00081925547238	151.515444512153
162.010135376891	6.49899591673602	7	5	1.5	1.42190361837402	CORRECT	1	5	2.00613741026336	2.98426376600037	162.010135376891
172.521283025364	9.50005002679245	6	3	4.5	2.03236110658327	CORRECT	1	5	2.00613201426222	3.00088871873959	172.521283025364
186.016805794154	6.49900748873642	10	7	1.5	1.24787455037313	CORRECT	1	5	2.00615997674049	3.0008208892632	186.016805794154
196.511403548627	6.49908568952742	1	1	1.5	0.70816663637379	CORRECT	2	28	2.00607355426382	3.00088819852772	196.511403548627
209.028728475154	6.49906756273595	10	7	1.5	1.08309831784663	CORRECT	2	28	1.98950150373639	3.01738167773601	209.028728475154
219.523392090154	7.99113207699975	2	1	3	0.791252520846683	CORRECT	2	28	1.98954589573987	3.00077214999965	219.523392090154
237.51180866789	6.51563770726352	7	5	1.5	1.30319488984333	CORRECT	1	5	2.00616210400312	3.00070439299725	237.51180866789
252.018577132154	7.99123118700027	5	3	3	1.17536118310636	CORRECT	1	5	2.00617446274009	2.98422080326054	252.018577132154
264.005357934154	9.49998510774003	3	1	4.5	0.709409691374276	CORRECT	1	5	2.00610044173663	2.98435623826754	264.005357934154
277.517414288626	9.50001103553041	12	7	4.5	1.1182397598468	CORRECT	2	28	2.00605624526361	3.00099561000297	277.517414288626
289.023415591891	7.9911336819996	11	7	3	0.707278116584348	CORRECT	1	5	1.9895641672656	3.00077098247402	289.023415591891
301.010196189894	8.00768113826052	2	1	3	0.752707189843022	CORRECT	2	28	2.00603635799689	3.00074483499702	301.010196189894
311.02392637989	8.02436872899943	8	5	3	n/a	NO_RESPONSE	2	n/a	1.98959846126309	3.03394040473631	311.02392637989
321.021263674153	6.49902815099995	10	7	1.5	1.61239987784575	CORRECT	1	5	2.0060470147364	3.00081780499931	321.021263674153
335.528012800626	6.48250603452743	1	1	1.5	0.63563982310643	CORRECT	1	5	1.98959662826746	2.98421065226012	335.528012800626
344.016637198154	8.0076603739999	11	7	3	0.897869177109897	INCORRECT	1	28	2.00597779547206	3.01742172526338	344.016637198154
354.013979571157	6.51544542346983	7	5	1.5	0.814338455110374	CORRECT	2	28	2.00591926899688	3.01734802173632	354.013979571157
362.518990336416	6.49900971147417	4	3	1.5	1.44841858510972	INCORRECT	2	5	2.00611988973742	3.00086966599974	362.518990336416
373.013610134154	8.00775644247278	11	7	3	0.941861674584288	CORRECT	2	28	2.00618616700285	3.00080229921059	373.013610134154
383.027516161156	9.48327335473732	3	1	4.5	1.57608620984593	INCORRECT	2	5	1.98938439173435	3.00092170173957	383.027516161156
396.523014563157	9.49983954773688	12	7	4.5	0.76379104784337	CORRECT	2	28	1.98948096773711	3.00077125473672	396.523014563157
408.028823075627	7.99123256126313	2	1	3	2.03527651484637	INCORRECT	1	28	1.98961968126696	3.00082795473645	408.028823075627
428.006931165157	6.51550900146958	10	7	1.5	1.46891985684579	CORRECT	2	28	2.00608140599979	3.00078877847227	428.006931165157
438.51799725189	9.50004446026651	3	1	4.5	2.23272535810611	CORRECT	1	5	2.00612279526376	3.00091089926264	438.51799725189
450.023952476154	9.48343072300304	9	5	4.5	0.732898585373732	INCORRECT	1	28	1.98961962574049	2.98437199552973	450.023952476154
463.519501148894	9.49992428826226	6	3	4.5	0.564635733106115	CORRECT	2	28	2.00612873799946	3.00085154026237	463.519501148894
475.02546319089	7.99113376300011	5	3	3	1.34205845537417	CORRECT	1	5	1.989483262264	3.00089066926375	475.02546319089
487.01222260189	8.00781089600332	8	5	3	1.59927984211026	INCORRECT	2	5	2.00618283026597	3.00089802400362	487.01222260189
499.01552093189	6.49910158100374	4	3	1.5	0.992310224110042	CORRECT	2	28	2.00613005500418	3.00091132300349	499.01552093189
507.520707211894	6.4990489920001	4	3	1.5	0.988937592844195	CORRECT	1	5	1.98955930126249	3.0007708897374	507.520707211894
