onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0157510000000229	9.49798468300003	6	3	4.5	0.877833900999804	CORRECT	2	28	2.00218120600005	2.99501143499992	0.0157510000000229
11.5158679420001	8.00866967100001	8	5	3	0.783468464999942	INCORRECT	1	28	2.00217042299982	3.01151459900007	11.5158679420001
21.510228313	8.00871082100002	2	1	3	0.603753763999975	CORRECT	1	5	2.00220658400008	3.01158870399991	21.510228313
31.504503918	8.00875479000001	5	3	3	1.68103647199996	INCORRECT	2	5	2.01871825700005	2.99501037499999	31.504503918
43.5175632610001	9.49797872999989	3	1	4.5	0.908291643000211	CORRECT	1	5	2.00219269399986	2.99510129400005	43.5175632610001
59.005489803	6.50291524699992	1	1	1.5	0.61598299000002	CORRECT	2	28	2.00207876199988	2.99499952299993	59.005489803
71.5148628879999	9.49789709000015	12	7	4.5	0.916073214000107	CORRECT	2	28	2.00217851299999	2.99493060000009	71.5148628879999
85.0171653	9.49792774699995	6	3	4.5	0.877256448000026	CORRECT	1	5	2.00224740599992	3.01156379600002	85.0171653
96.517172284	9.49797730299997	9	5	4.5	0.943550595999795	CORRECT	2	28	2.00227563499993	2.99496506499986	96.517172284
110.019519376	7.99214051600006	11	7	3	1.32792914600009	INCORRECT	2	5	2.00216751599987	2.99504669000021	110.019519376
126.020308379	7.99218203999999	8	5	3	0.888617734000036	CORRECT	2	28	1.98569126899997	2.99500976900003	126.020308379
138.0168472	9.49790618199995	9	5	4.5	1.26043922400004	CORRECT	1	5	2.00213576400006	2.99500899899999	138.0168472
151.519083023	6.48639543599984	4	3	1.5	0.945576695	CORRECT	1	5	2.00223113699985	2.99496907799994	151.519083023
162.009802083	6.50291944800006	7	5	1.5	1.89843341400001	INCORRECT	1	28	2.00219235700001	2.99497083100005	162.009802083
172.517103459	9.49777360300004	6	3	4.5	0.916761038999994	CORRECT	1	5	2.00214879300006	2.99485428100002	172.517103459
186.002799092	6.51944742499995	10	7	1.5	0.888802715000111	CORRECT	1	5	2.00219399499997	3.01148619700007	186.002799092
196.510064687	6.50294664800003	1	1	1.5	0.916729891000159	CORRECT	2	28	2.00211567399992	2.99503235400016	196.510064687
209.019521282	6.48645203600017	10	7	1.5	1.12214131199994	CORRECT	2	28	2.00212262100013	2.99508680300005	209.019521282
219.526748958	7.99217142199996	2	1	3	1.23254161500017	CORRECT	2	28	1.98566504699988	3.01157400000011	219.526748958
237.513301585	6.50289880499986	7	5	1.5	1.05458002	CORRECT	1	5	2.00213468199991	2.99497920399995	237.513301585
252.008338981	8.0086792730001	5	3	3	0.633543443000008	CORRECT	1	5	2.00214588000017	3.01158531800002	252.008338981
264.0214158	9.49779764300001	3	1	4.5	0.771063550000008	CORRECT	1	5	1.98553964299981	2.99494072100015	264.0214158
277.507055415	9.49791918300002	12	7	4.5	1.93380484799991	CORRECT	2	28	2.01875676000009	2.99499130899994	277.507055415
289.023699641	7.99215616799984	11	7	3	1.35082414099998	CORRECT	1	5	1.98559358599982	3.01150581599995	289.023699641
301.003577701	8.00873474400009	2	1	3	0.918998136000027	CORRECT	2	28	2.00228152299997	2.99490954600014	301.003577701
311.014492301	8.0087334320001	8	5	3	1.42075819499996	CORRECT	2	28	2.00217794200012	3.01150933600002	311.014492301
321.008856311	6.50292083699992	10	7	1.5	1.91562996599987	CORRECT	1	5	2.00215354099987	2.99497398299991	321.008856311
335.503900369	6.50293587800002	1	1	1.5	0.741083408000122	CORRECT	1	5	2.01865579599985	2.99495924700022	335.503900369
344.025493974	7.9921628730001	11	7	3	0.99744597699987	CORRECT	1	5	1.98570261600003	3.011504629	344.025493974
354.0032176	6.51950984900009	7	5	1.5	1.12500890199999	CORRECT	2	28	2.00227703300015	3.01149414700012	354.0032176
362.508430112	6.50294329200005	4	3	1.5	1.36864426300008	CORRECT	2	28	2.00217265500009	2.99502440700007	362.508430112
373.015685015	8.00870347200021	11	7	3	1.17813919299988	CORRECT	2	28	2.00215172100002	3.011557219	373.015685015
383.009976048	9.51454798700001	3	1	4.5	0.838064067000005	CORRECT	2	28	2.00218667200011	3.01160348899998	383.009976048
396.512216561	9.49793731199998	12	7	4.5	0.864494823000086	CORRECT	2	28	2.00221670099995	2.9950086230001	396.512216561
408.012326676	8.0086865300002	2	1	3	0.906542358000024	CORRECT	1	5	2.00219005500003	3.01151077300005	408.012326676
428.017528345	6.50288320899995	10	7	1.5	2.02567829500003	INCORRECT	2	5	2.00213050100001	2.99501403599993	428.017528345
438.508235131	9.51446158800013	3	1	4.5	0.730053059000056	CORRECT	1	5	2.00219479099997	3.01151946600021	438.508235131
450.008339402	9.51448057399989	9	5	4.5	1.22098984800004	INCORRECT	1	28	2.00218389899987	3.01156241299987	450.008339402
463.510588499	9.49790955100002	6	3	4.5	0.973087600000099	CORRECT	2	28	2.00218576099996	2.99501443400004	463.510588499
475.010698533	8.00865009999984	5	3	3	1.34094776899997	CORRECT	1	5	2.00212445299985	3.01151233099995	475.010698533
487.007153972	8.00868907100016	8	5	3	1.03067678899993	CORRECT	2	28	2.00220042900014	3.0115453630001	487.007153972
499.003706151	6.51942366200001	4	3	1.5	0.795049021000068	CORRECT	2	28	2.01865967599997	3.01156915999991	499.003706151
507.508730496	6.50293488500006	4	3	1.5	0.945760944000085	CORRECT	1	5	2.00219540900002	2.99497209100014	507.508730496
520.018150139	7.99229181100009	5	3	3	1.42245693300015	CORRECT	2	28	2.00221815000009	2.99510296100016	520.018150139
530.012506969	9.4979388270001	12	7	4.5	1.49204543399992	CORRECT	1	5	2.002168192	2.99501090100011	530.012506969
547.502555491	9.5144618459999	9	5	4.5	0.783625015000098	CORRECT	1	5	2.01872282699992	2.99500688800003	547.502555491
559.019200147	6.50294917600013	1	1	1.5	1.01351890399997	CORRECT	2	28	2.00216059600007	3.0114981050001	559.019200147
567.507815662	6.50281885200002	7	5	1.5	1.31210775800014	CORRECT	2	28	2.01863849000006	2.99497476400006	567.507815662
