onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0129786701072589	2	1	CONTROL	1	0.856167714888215	1	LEFT	5	1	1	0	0	0.0460662341115494	0.0129786701072589	0.0460662341115494
4.52250841911155	2	2	CONTROL	1	0.619980935884541	2	RIGHT	28	1	1	0	0	4.53899593911547	4.52250841911155	4.53899593911547
11.5189479981032	4	3	TASK	2	1.25687958989283	1	LEFT	5	1	0	1	16	12.5136708141072	11.5189479981032	12.5136708141072
19.5100724941071	2	4	CONTROL	1	0.685057692888222	1	LEFT	5	1	1	0	0	19.5266697261118	19.5100724941071	19.5266697261118
22.0466646491072	4	5	TASK	2	3.23789993896708	2	RIGHT	28	1	0	1	28	23.0083585270327	22.0466646491072	23.0083585270327
38.5098699861073	4	6	TASK	2	1.34074668788799	1	LEFT	5	1	0	1	1	39.5211684961118	38.5098699861073	39.5211684961118
49.5184349661031	2	7	CONTROL	1	0.757929400892408	2	RIGHT	28	1	1	0	0	49.5350275011074	49.5184349661031	49.5350275011074
56.5148169231156	2	8	CONTROL	1	0.649893949896523	2	RIGHT	28	1	1	0	0	56.5314688241033	56.5148169231156	56.5314688241033
66.0147132841116	4	9	TASK	2	n/a	2	n/a	n/a	0	0	0	33	67.0095389800326	66.0147132841116	67.0095389800326
70.5242522281119	2	10	CONTROL	1	1.08563444088441	2	RIGHT	28	1	1	0	0	70.5408180331156	70.5242522281119	70.5408180331156
76.0120062221072	4	11	TASK	2	3.2796851649714	2	RIGHT	28	1	0	1	17	77.0068470500287	76.0120062221072	77.0068470500287
81.5163301711073	4	12	TASK	2	1.61979235188846	2	RIGHT	28	1	0	1	11	82.5109736241116	81.5163301711073	82.5109736241116
92.5248926101071	4	13	TASK	2	1.22829062289702	1	LEFT	5	1	0	1	8	93.5195954651031	92.5248926101071	93.5195954651031
98.0291835271032	2	14	CONTROL	1	1.214721692897	1	LEFT	5	1	1	0	0	98.0457861111031	98.0291835271032	98.0457861111031
104.511675523107	4	15	TASK	2	3.13767946896724	1	LEFT	5	1	0	1	5	105.506434852033	104.511675523107	105.506434852033
109.021157846107	2	16	CONTROL	1	0.984266412888246	1	LEFT	5	1	1	0	0	109.037758534112	109.021157846107	109.037758534112
