onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.013819319000504	1.5	GO	LEFT	0.604590730000382	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.013819319000504	0
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
3.26316977799979	1.5	STOP	RIGHT	0.380144642000232	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.351463332000094	1	350	-1	3.25	3.26316977799979	3.25
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	4.75	0	4.75
5.38521413600029	1.5	STOP	LEFT	0.349136777999774	LEFT	5	CorrectResponse	UnsuccessfulStop	0.252495566999642	2	250	-1	5.375	5.38521413600029	5.375
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.875	0	6.875
7.39143315000001	1.5	GO	RIGHT	0.370395488999748	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	7.375	7.39143315000001	7.375
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.875	0	8.875
9.64610482500029	1.5	GO	LEFT	0.273580100999425	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	9.625	9.64610482500029	9.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.125	0	11.125
11.635572962	1.5	GO	RIGHT	0.354977230000259	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	11.625	11.635572962	11.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.125	0	13.125
14.0230629309999	1.5	GO	RIGHT	0.388494680999429	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	14	14.0230629309999	14
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	15.5	0	15.5
16.1453139539999	1.5	GO	LEFT	0.252711074999752	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	16.125	16.1453139539999	16.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	17.625	0	17.625
18.7646719940003	1.5	STOP	RIGHT	0.296423777999735	RIGHT	28	CorrectResponse	UnsuccessfulStop	0	1	300	-1	18.75	18.7646719940003	18.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.25	0	20.25
20.7708301940002	1.5	STOP	LEFT	0.226854164000542	LEFT	5	CorrectResponse	UnsuccessfulStop	0.200482313000066	2	200	-1	20.75	20.7708301940002	20.75
0	2.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	22.25	0	22.25
25.0151350850001	1.5	GO	RIGHT	0.334004909000214	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	25	25.0151350850001	25
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	26.5	0	26.5
27.634604977	1.5	GO	LEFT	0.294144303000394	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	27.625	27.634604977	27.625
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	29.125	0	29.125
30.3866299060001	1.5	GO	RIGHT	0.319833542000197	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	30.375	30.3866299060001	30.375
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	31.875	0	31.875
32.7572716530003	1.5	GO	LEFT	0.292951242000527	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	32.75	32.7572716530003	32.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.25	0	34.25
35.1450034879999	1.5	GO	LEFT	0.399183341000025	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	35.125	35.1450034879999	35.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	36.625	0	36.625
37.5157709470004	1.5	GO	RIGHT	0.370574073999705	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	37.5	37.5157709470004	37.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	39	0	39
39.521755711	1.5	GO	LEFT	0.282521398000426	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	39.5	39.521755711	39.5
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	41	0	41
43.3847295720007	1.5	GO	RIGHT	0.354845298000328	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	43.375	43.3847295720007	43.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	44.875	0	44.875
46.0210124880005	1.5	GO	RIGHT	0.426820886000314	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	46	46.0210124880005	46
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	47.5	0	47.5
48.0103652070002	1.5	GO	LEFT	0.359281961000306	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	48	48.0103652070002	48
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.5	0	49.5
50.6466337810007	1.5	GO	LEFT	0.222033613999884	RIGHT	28	IncorrectResponse	JUNK	0	0	0	0	50.625	50.6466337810007	50.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52.125	0	52.125
52.6361180780004	1.5	STOP	RIGHT	0.270452201999433	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.151967590999448	2	150	-1	52.625	52.6361180780004	52.625
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.125	0	54.125
55.1395473890007	1.5	STOP	LEFT	0.375128641000629	LEFT	5	CorrectResponse	UnsuccessfulStop	0.251799229999961	1	250	-1	55.125	55.1395473890007	55.125
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	56.625	0	56.625
57.8916507009999	1.5	GO	RIGHT	0.535141581000062	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	57.875	57.8916507009999	57.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	59.375	0	59.375
60.7598182709999	1.5	GO	RIGHT	0.416672844999994	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	60.75	60.7598182709999	60.75
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	62.25	0	62.25
63.8932444070006	1.5	GO	LEFT	0.388151603999177	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	63.875	63.8932444070006	63.875
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	65.375	0	65.375
67.7729559919999	1.5	GO	RIGHT	0.412625555999512	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	67.75	67.7729559919999	67.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	69.25	0	69.25
69.7622292810001	1.5	GO	LEFT	0.283420391000618	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	69.75	69.7622292810001	69.75
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	71.25	0	71.25
73.3933718180006	1.5	GO	RIGHT	0.348720940000021	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	73.375	73.3933718180006	73.375
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.875	0	74.875
75.3826801320001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.201639462999992	1	200	1	75.375	75.3826801320001	75.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.875	0	76.875
77.521521353	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.10052992600049	2	100	1	77.5	77.521521353	77.5
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	79	0	79
80.0061023580001	1.5	GO	LEFT	0.345322664000378	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	80	80.0061023580001	80
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	81.5	0	81.5
83.0091564969998	1.5	GO	RIGHT	0.284902858999885	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	83	83.0091564969998	83
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	84.5	0	84.5
86.010210247	1.5	GO	RIGHT	0.241598058000818	LEFT	5	IncorrectResponse	JUNK	0	0	0	0	86	86.010210247	86
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	87.5	0	87.5
88.5135406700001	1.5	GO	LEFT	0.401349898999797	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	88.5	88.5135406700001	88.5
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	90	0	90
91.8955869749998	1.5	STOP	RIGHT	0.462715238000783	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.151576422000289	2	150	-1	91.875	91.8955869749998	91.875
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	93.375	0	93.375
94.8964215140004	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251444513000024	1	250	1	94.875	94.8964215140004	94.875
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	96.375	0	96.375
97.6305932619998	1.5	GO	LEFT	0.497927581000113	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	97.625	97.6305932619998	97.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	99.125	0	99.125
99.8868507410007	1.5	GO	RIGHT	0.585035095999956	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	99.875	99.8868507410007	99.875
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	101.375	0	101.375
103.517767623001	1.5	GO	LEFT	0.567748360999758	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	103.5	103.517767623001	103.5
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	105	0	105
106.021005037001	1.5	STOP	RIGHT	0.31648993700037	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.300373684000078	1	300	-1	106	106.021005037001	106
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	107.5	0	107.5
108.259294240001	1.5	GO	LEFT	0.450636743000359	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	108.25	108.259294240001	108.25
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	109.75	0	109.75
111.757529013	1.5	GO	RIGHT	0.359847903000627	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	111.75	111.757529013	111.75
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	113.25	0	113.25
114.260953405	1.5	GO	RIGHT	0.46902616800071	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	114.25	114.260953405	114.25
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	115.75	0	115.75
116.764354067001	1.5	STOP	LEFT	0.297153643000456	LEFT	5	CorrectResponse	UnsuccessfulStop	0.102489015000174	2	100	-1	116.75	116.764354067001	116.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	118.25	0	118.25
118.77040297	1.5	GO	RIGHT	0.481059263000134	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	118.75	118.77040297	118.75
