onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0806485080001949	3	1	CORRECTLY	1.81044564399963	5	SURE_CORRECT	3	6	0.0806485080001949
4.51524770299966	3	2	INCORRECTLY	2.2403201470006	10	MAYBE_INCORRECT	55	0	4.51524770299966
13.020400507	2	3	CONTROL	2.08484769900042	5	n/a	1000	0	13.020400507
16.0649650470004	3	4	CORRECTLY	3.3333705619998	21	SURE_INCORRECT	12	0	16.0649650470004
21.0125451679996	3	5	CORRECTLY	1.58619700500003	5	SURE_CORRECT	8	15	21.0125451679996
25.0665464909998	2	6	CONTROL	1.54116101999989	28	n/a	1000	0	25.0665464909998
29.0211789710002	3	7	INCORRECTLY	2.52283017900027	5	SURE_CORRECT	59	0	29.0211789710002
36.0205146079998	3	8	CORRECTLY	2.58027828400009	5	SURE_CORRECT	7	13	36.0205146079998
40.5213179060001	3	9	INCORRECTLY	2.31488309799988	10	MAYBE_INCORRECT	68	0	40.5213179060001
47.0076563390003	3	10	INCORRECTLY	2.21408521800004	28	MAYBE_CORRECT	64	0	47.0076563390003
51.0781498329998	3	11	CORRECTLY	3.11302579299991	21	SURE_INCORRECT	6	12	51.0781498329998
56.0091423690001	2	12	CONTROL	1.08047424199958	5	n/a	1000	0	56.0091423690001
61.5192685049997	3	13	INCORRECTLY	2.23068673600028	28	MAYBE_CORRECT	78	0	61.5192685049997
65.5732958669996	3	14	CORRECTLY	2.5936766650002	5	SURE_CORRECT	16	31	65.5732958669996
69.5776066979997	3	15	CORRECTLY	2.55180664700038	5	SURE_CORRECT	14	0	69.5776066979997
75.021481623	3	16	CORRECTLY	2.95701830899998	10	MAYBE_INCORRECT	1	3	75.021481623
79.0590070509998	3	17	CORRECTLY	2.64179823999984	10	MAYBE_INCORRECT	5	11	79.0590070509998
83.5100613980003	3	18	INCORRECTLY	2.69593335899935	10	MAYBE_INCORRECT	51	0	83.5100613980003
90.0130317840003	3	19	INCORRECTLY	2.57771232599953	10	MAYBE_INCORRECT	47	0	90.0130317840003
94.0669683039996	3	20	INCORRECTLY	2.28687386400088	21	SURE_INCORRECT	66	0	94.0669683039996
99.0145432290001	3	21	CORRECTLY	1.80624061599974	5	SURE_CORRECT	10	20	99.0145432290001
