onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0323231299998952	9.48140958000022	6	3	4.5	0.710060254999917	CORRECT	2	28	1.98563899500004	2.99503762400036	0.0323231299998952
11.515881888	8.00873018599941	8	5	3	1.3369947049996	INCORRECT	1	28	2.00217078199967	3.01154040499932	11.515881888
21.5101945730003	8.00866626399966	2	1	3	1.01261491399964	CORRECT	1	5	2.00220700299997	3.01150446799966	21.5101945730003
31.5210617949997	7.99220842700015	5	3	3	1.37721033400067	CORRECT	2	28	2.00225708900052	2.9950157760004	31.5210617949997
43.5176229150002	9.49791501399977	3	1	4.5	1.04967193100038	CORRECT	1	5	2.00210758699995	2.99499243500031	43.5176229150002
59.021976858	6.4864513120001	1	1	1.5	1.11528033100058	CORRECT	2	28	1.98565170700022	2.99497578200044	59.021976858
71.5148864719995	9.49792520600022	12	7	4.5	2.06712175099983	INCORRECT	2	5	2.00215870800002	2.99495347399989	71.5148864719995
85.01717164	9.49794694799948	6	3	4.5	0.98378294899976	CORRECT	1	5	2.00220100499973	3.01159438499963	85.01717164
96.5172313849998	9.49789098899964	9	5	4.5	1.09321498300051	CORRECT	2	28	2.00219313799971	2.99495180299982	96.5172313849998
110.019532838	7.99214511799983	11	7	3	0.956627154000671	CORRECT	2	28	2.00215710400062	2.99498773100004	110.019532838
126.003790875	8.00871630399979	8	5	3	1.30446250200021	CORRECT	2	28	2.01872180400005	2.99503184900004	126.003790875
138.016834175	9.49795881800037	9	5	4.5	1.68890982499943	CORRECT	1	5	2.00214724600028	3.01153683699977	138.016834175
151.519030558	6.48643223199997	4	3	1.5	1.5679486959998	CORRECT	1	5	2.00220841899954	2.97843134300001	151.519030558
162.009845324	6.50290427999971	7	5	1.5	1.41467404200012	INCORRECT	1	28	2.00212028799979	2.99499229799949	162.009845324
172.517088856	9.49791323200043	6	3	4.5	1.13998578100018	CORRECT	1	5	1.98565045699979	2.99503473700042	172.517088856
186.019305414	6.50294789899999	10	7	1.5	1.10990708200006	CORRECT	1	5	2.00222929400024	3.0114825820001	186.019305414
196.510059647	6.5029294219994	1	1	1.5	1.1062805950005	CORRECT	2	28	2.00217684499967	2.99500110000008	196.510059647
209.019520926	6.48635840999941	10	7	1.5	1.48330681200059	CORRECT	2	28	1.98566016999939	2.99497582399999	209.019520926
219.510301369	8.00868557600006	2	1	3	0.749019142000179	CORRECT	2	28	2.00210532700021	3.011538965	219.510301369
237.513281192	6.50291317199935	7	5	1.5	1.30709074399965	CORRECT	1	5	2.00215974599996	2.9950022639996	237.513281192
252.02493092	7.99208504099988	5	3	3	0.846810322999772	CORRECT	1	5	1.98558453700025	2.99496394499965	252.02493092
264.021358919	9.49798498400014	3	1	4.5	0.737559094000062	CORRECT	1	5	2.00221286299984	2.9950540509999	264.021358919
277.507072803	9.49789274000068	12	7	4.5	0.957166639000206	CORRECT	2	28	2.00219003700022	2.99498390100052	277.507072803
289.00718798	8.00868362100027	11	7	3	1.53308963700056	CORRECT	1	5	2.00214295099977	3.01157933300055	289.00718798
301.020164517	7.99217377700006	2	1	3	1.90465763199973	CORRECT	2	28	2.00215474299966	2.99506215000019	301.020164517
311.014511183	7.9921177770002	8	5	3	0.979919305999829	CORRECT	2	28	2.00215383700015	2.99499755299985	311.014511183
321.008817696	6.50294937600029	10	7	1.5	1.3990001709999	CORRECT	1	5	2.00219350400039	2.99503107300006	321.008817696
335.520457116	6.48632858099973	1	1	1.5	0.914016203999381	CORRECT	1	5	1.98561755299943	2.99497030099974	335.520457116
344.008979583	8.00872859900028	11	7	3	1.23725234799986	CORRECT	1	5	2.00221041300028	2.99495602300067	344.008979583
354.019790437	6.48644771799991	7	5	1.5	1.29322048100039	CORRECT	2	28	2.00222865599972	2.99493475700001	354.019790437
362.524944418999	6.48643201800041	4	3	1.5	1.10334124000019	CORRECT	2	28	1.98562137600038	2.99501663400042	362.524944418999
373.015651699	7.992148671	11	7	3	1.09927598500053	CORRECT	2	28	2.00216299400017	2.99496407000061	373.015651699
383.009991677	9.51445005500045	3	1	4.5	1.24874154600002	CORRECT	2	28	2.00221771500037	3.01151401700008	383.009991677
396.512271909	9.51446006600054	12	7	4.5	1.08943571399959	CORRECT	2	28	2.0021941519999	3.01149295699997	396.512271909
408.012300777999	7.99217983300059	2	1	3	1.45587649800018	INCORRECT	1	28	2.00222277000012	2.99502037500042	408.012300777999
428.017520119	6.48637929600045	10	7	1.5	1.35097782499997	CORRECT	2	28	2.00214161800068	2.99498493800002	428.017520119
438.508306572	9.51442049500019	3	1	4.5	0.619637001000228	CORRECT	1	5	2.00210037799934	3.01154951200078	438.508306572
450.008391911	9.49788974399962	9	5	4.5	1.35489810600029	CORRECT	1	5	2.00213452499975	2.99495700700027	450.008391911
463.510570816999	9.49796178599991	6	3	4.5	1.08798212399961	CORRECT	2	28	2.00215646000015	2.99500881799941	463.510570816999
475.010677336	8.00868661899949	5	3	3	1.49980234800023	INCORRECT	1	28	2.00217721700028	3.01153575799981	475.010677336
487.00717438	8.00866729500012	8	5	3	1.55130008600099	CORRECT	2	28	2.00221399600014	2.99499617400033	487.00717438
