onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0788195891545911	3	1	CORRECTLY	n/a	n/a	n/a	3	6	0.0788195891545911
4.52195418177234	3	2	INCORRECTLY	0.00882968522728333	28	MAYBE_CORRECT	55	0	4.52195418177234
13.0271279370027	2	3	CONTROL	2.32397428799686	5	n/a	1000	0	13.0271279370027
16.0611478220007	3	4	CORRECTLY	2.47297571199942	5	SURE_CORRECT	12	0	16.0611478220007
21.0182628457724	3	5	CORRECTLY	3.2439288792275	28	MAYBE_CORRECT	8	15	21.0182628457724
25.0636251536953	2	6	CONTROL	0.00818741930470424	28	n/a	1000	0	25.0636251536953
29.0094531090026	3	7	INCORRECTLY	2.27844989499772	21	SURE_INCORRECT	59	0	29.0094531090026
36.0059146006952	3	8	CORRECTLY	2.12028592330444	21	SURE_INCORRECT	7	13	36.0059146006952
40.5154126110028	3	9	INCORRECTLY	2.68405465999695	5	SURE_CORRECT	68	0	40.5154126110028
47.0144735927724	3	10	INCORRECTLY	2.4758758562275	21	SURE_INCORRECT	64	0	47.0144735927724
51.0598386861548	3	11	CORRECTLY	2.2111312628449	21	SURE_INCORRECT	6	12	51.0598386861548
56.0169886050026	2	12	CONTROL	1.64403957099694	5	n/a	1000	0	56.0169886050026
61.5212764020025	3	13	INCORRECTLY	2.63471069899697	21	SURE_INCORRECT	78	0	61.5212764020025
65.566566612003	3	14	CORRECTLY	3.59056709699689	5	SURE_CORRECT	16	31	65.566566612003
69.5622258971543	3	15	CORRECTLY	0.00671036084531806	5	SURE_CORRECT	14	0	69.5622258971543
75.0166488015411	3	16	CORRECTLY	1.86712318845912	21	SURE_INCORRECT	1	3	75.0166488015411
79.078627220003	3	17	CORRECTLY	1.63409584899728	21	SURE_INCORRECT	5	11	79.078627220003
83.5053290053847	3	18	INCORRECTLY	2.27243886761516	5	SURE_CORRECT	51	0	83.5053290053847
90.0209325182341	3	19	INCORRECTLY	2.27257687476595	5	SURE_CORRECT	47	0	90.0209325182341
94.0662629915405	3	20	INCORRECTLY	2.19050366845931	10	MAYBE_INCORRECT	66	0	94.0662629915405
99.0233758880031	3	21	CORRECTLY	2.79921526299677	21	SURE_INCORRECT	10	20	99.0233758880031
103.068699684773	3	22	INCORRECTLY	3.47508229922732	28	MAYBE_CORRECT	48	0	103.068699684773
107.064260945003	3	23	INCORRECTLY	3.55685144799645	21	SURE_INCORRECT	52	0	107.064260945003
115.005712682772	3	24	INCORRECTLY	2.53026015022715	10	MAYBE_INCORRECT	45	0	115.005712682772
119.515285988003	3	25	CORRECTLY	3.75754962899737	5	SURE_CORRECT	9	18	119.515285988003
125.516974533773	3	26	INCORRECTLY	3.00897972922758	21	SURE_INCORRECT	42	0	125.516974533773
131.004684722695	3	27	INCORRECTLY	3.15047965530539	28	MAYBE_CORRECT	80	0	131.004684722695
137.022908183618	3	28	CORRECTLY	n/a	n/a	n/a	2	5	137.022908183618
142.013271380003	2	29	CONTROL	2.63595825299672	10	n/a	1000	0	142.013271380003
145.063798646772	3	30	INCORRECTLY	3.80110774922832	5	SURE_CORRECT	56	0	145.063798646772
150.518407138772	3	31	INCORRECTLY	1.63905207222797	21	SURE_INCORRECT	43	0	150.518407138772
155.011378234848	3	32	INCORRECTLY	2.19152364415186	5	SURE_CORRECT	58	0	155.011378234848
159.520927648003	3	33	CORRECTLY	3.31158819799748	5	SURE_CORRECT	4	9	159.520927648003
167.014735037772	3	34	CORRECTLY	3.77651170522768	28	MAYBE_CORRECT	13	0	167.014735037772
173.513767441003	3	35	CORRECTLY	3.57086270499713	21	SURE_INCORRECT	11	21	173.513767441003
178.520656475233	3	36	CORRECTLY	1.92233541776659	21	SURE_INCORRECT	15	30	178.520656475233
182.566104336463	3	37	INCORRECTLY	2.04883328653705	21	SURE_INCORRECT	46	0	182.566104336463
188.517891459772	2	38	CONTROL	1.78229379922777	28	n/a	1000	0	188.517891459772
193.524781510003	2	39	CONTROL	1.56046395099656	28	n/a	1000	0	193.524781510003
198.017786199542	3	40	INCORRECTLY	2.56461495445819	28	MAYBE_CORRECT	62	0	198.017786199542
203.024757109233	2	41	CONTROL	1.6300076467669	5	n/a	1000	0	203.024757109233
207.517664026772	2	42	CONTROL	1.24366966122761	5	n/a	1000	0	207.517664026772
211.015885613772	2	43	CONTROL	1.99370078422726	28	n/a	1000	0	211.015885613772
218.509660249541	3	44	INCORRECTLY	3.45043395645826	10	MAYBE_INCORRECT	49	0	218.509660249541
224.013937865541	3	45	CORRECTLY	2.52887341145833	10	MAYBE_INCORRECT	27	47	224.013937865541
229.518260868003	3	46	CORRECTLY	n/a	n/a	n/a	30	53	229.518260868003
235.022529008002	3	47	INCORRECTLY	0.00859534999744938	21	SURE_INCORRECT	75	0	235.022529008002
244.522410688542	3	48	CORRECTLY	2.07283951645786	5	SURE_CORRECT	35	58	244.522410688542
252.016238244772	3	49	CORRECTLY	2.94806496022738	10	MAYBE_INCORRECT	32	55	252.016238244772
256.078175142234	2	50	CONTROL	1.79300010676616	21	n/a	1000	0	256.078175142234
259.062452878003	3	51	INCORRECTLY	2.69360286699703	28	MAYBE_CORRECT	70	0	259.062452878003
267.020414337541	2	52	CONTROL	1.57366202545836	21	n/a	1000	0	267.020414337541
