onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0312824979073412	9.48329226922715	6	3	4.5	1.05647677886509	CORRECT	2	28	1.98945341422723	3.00084876999972	0.0312824979073412
11.5206389511345	7.99119130477311	8	5	3	1.22980661509291	CORRECT	1	5	1.98957470077312	3.00083439800028	11.5206389511345
21.5178763059075	7.99117578122696	2	1	3	1.1478951768654	CORRECT	1	5	2.00608312122722	3.0008085909999	21.5178763059075
31.5151306373618	8.00779828877285	5	3	3	1.26637646686549	CORRECT	2	28	2.00615880754549	3.00086710400001	31.5151306373618
43.5184660995887	9.49996465254571	3	1	4.5	0.737639028092417	CORRECT	1	5	2.00610576231884	3.00086769622703	43.5184660995887
59.0200287869075	6.4990764690001	1	1	1.5	1.1014852350927	CORRECT	2	28	2.00612651700021	3.0008188730003	59.0200287869075
71.5207393523619	9.49993101654536	12	7	4.5	1.52122355186566	INCORRECT	2	5	2.00615906154553	3.00079867577278	71.5207393523619
85.0162448649075	9.49985476799975	6	3	4.5	1.07908810109257	CORRECT	1	5	2.00610688522693	3.00082509499998	85.0162448649075
96.5221997423619	9.49997753131811	9	5	4.5	1.09182569186578	CORRECT	2	28	1.98955394177256	3.00086462654554	96.5221997423619
110.017651499134	8.00773890122719	11	7	3	1.07874007986538	CORRECT	2	28	2.00612149900007	3.00076551222719	110.017651499134
126.016636959135	8.00768132122721	8	5	3	1.03253825454749	CORRECT	2	28	2.00604527799987	3.01738585090925	126.016636959135
138.019910306135	9.49991969422717	9	5	4.5	1.33383287609286	CORRECT	1	5	2.00616911377301	3.0007980884543	138.019910306135
151.51549022568	6.49901253445478	4	3	1.5	1.25475460086545	INCORRECT	1	28	2.00606835022745	3.00089431200013	151.51549022568
162.010028463134	6.51567143400007	7	5	1.5	1.33555514263844	CORRECT	1	5	2.00613817977319	3.00085998477289	162.010028463134
172.52129754668	9.4999064672279	6	3	4.5	1.34905902386572	CORRECT	1	5	1.98949126322759	3.00085703877312	172.52129754668
186.016778694135	6.49896222845427	10	7	1.5	1.28787705986542	INCORRECT	1	28	2.00609625400011	3.0007822744542	186.016778694135
196.511401384907	6.51557431022729	1	1	1.5	1.28776548532005	CORRECT	2	28	2.00611178522695	3.01732160645497	196.511401384907
209.012133365135	6.49903173477287	10	7	1.5	0.970842472638196	CORRECT	2	28	2.0060064102272	3.00089944454567	209.012133365135
219.523283433135	7.99121259000003	2	1	3	1.34573191763866	CORRECT	2	28	2.00610133477312	3.000891450773	219.523283433135
237.511706905135	6.49910106831794	7	5	1.5	1.28737701709269	CORRECT	1	5	2.006084518227	3.00086473954525	237.511706905135
252.018534662907	7.99121755600027	5	3	3	1.12783404986521	CORRECT	1	5	2.00611405900008	3.00083822677288	252.018534662907
264.021920426135	9.49985539277259	3	1	4.5	0.789622167865673	CORRECT	1	5	1.98947405377248	3.0008292477728	264.021920426135
277.517302837135	9.49987960699991	12	7	4.5	0.996377796865545	CORRECT	2	28	2.00607469722718	3.00081009999985	277.517302837135
289.023329468907	7.99116139022726	11	7	3	1.21807622009237	CORRECT	1	5	1.98951663700018	3.00082070222697	289.023329468907
301.010108639135	8.00770551877304	2	1	3	1.00765648209244	CORRECT	2	28	2.00604409522703	3.00077803700015	301.010108639135
311.023918916907	7.99120573522714	8	5	3	0.938737581865553	CORRECT	2	28	1.98949299300011	3.00087157300004	311.023918916907
321.021190042908	6.49902098099983	10	7	1.5	1.26780779963838	INCORRECT	1	28	1.989486726	3.00087540554568	321.021190042908
335.511374850907	6.54877912099982	1	1	1.5	n/a	NO_RESPONSE	1	n/a	2.00613328822692	3.03401350054537	335.511374850907
344.016476406589	7.99121405731876	11	7	3	1.20625760863823	INCORRECT	1	28	2.0060778437728	2.98430643054598	344.016476406589
354.013817617134	6.49905057677279	7	5	1.5	1.34636269786552	CORRECT	2	28	2.00601046522706	3.00086826077268	354.013817617134
362.518921018907	6.49903470422714	4	3	1.5	1.96418461186522	CORRECT	2	28	2.00606399400021	3.00086042099974	362.518921018907
373.013522424907	8.00781257122708	11	7	3	0.974085649865629	CORRECT	2	28	2.00611728700005	3.00083888400013	373.013522424907
383.027365654907	9.48328241599984	3	1	4.5	1.12680533386583	CORRECT	2	28	1.98957575499981	3.00080764777294	383.027365654907
396.506222905908	9.49992323199967	12	7	4.5	1.18132604086532	CORRECT	2	28	2.00610176422697	3.00086780177253	396.506222905908
408.012267327907	8.00769209422697	2	1	3	0.976045238865481	CORRECT	1	5	2.00601005822728	3.0007675249999	408.012267327907
428.00670947968	6.51570128222738	10	7	1.5	1.33900845986545	CORRECT	2	28	2.0061192174544	3.00091202877275	428.00670947968
438.51801403868	9.49985876322762	3	1	4.5	1.06485488809267	CORRECT	1	5	2.00602158922766	3.0008193929998	438.51801403868
450.023900159907	9.48331378722696	9	5	4.5	1.44177293409257	CORRECT	1	5	1.98952880199977	2.98418855122691	450.023900159907
463.519402176908	9.49986057145406	6	3	4.5	1.14748759786517	CORRECT	2	28	2.00607193168116	3.00077917922681	463.519402176908
475.025388083135	7.99109511799998	5	3	3	1.24302394586539	INCORRECT	1	28	1.98953306977273	3.00080698400006	475.025388083135
487.012129885135	8.0077946360002	8	5	3	1.04217186563801	CORRECT	2	28	2.00612204400022	3.00090948577281	487.012129885135
499.015497116135	6.49904490077279	4	3	1.5	0.903241577092558	CORRECT	2	28	2.00601629922721	3.00076846999991	499.015497116135
507.520557226135	6.49919041077283	4	3	1.5	1.40645687863798	CORRECT	1	5	2.00609435777278	3.00096320854573	507.520557226135
520.021311856135	7.99120439254511	5	3	3	1.56132557386536	CORRECT	2	28	2.00606646699998	3.00084186354525	520.021311856135
530.018515326135	9.49997852900015	12	7	4.5	1.24346847109246	CORRECT	1	5	2.00616830677291	3.00088247922713	530.018515326135
547.526146993362	9.4833260627729	9	5	4.5	1.18220748609247	CORRECT	1	5	1.98954838177315	3.0008003512271	547.526146993362
559.015554178362	6.49905833700041	1	1	1.5	1.08863206486558	CORRECT	2	28	2.0061391247732	3.00078307422746	559.015554178362
567.520779498907	6.49901202299998	7	5	1.5	1.58185903032017	CORRECT	2	28	2.00599984822702	3.00079966722751	567.520779498907
