onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0162893599999734	1.5	STOP	RIGHT	0.36492336099991	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.155655561999993	1	150	-1	0	0.0162893599999734	0
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
4.76538823700002	1.5	GO	LEFT	0.405833980999887	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	4.75	4.76538823700002	4.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.25	0	6.25
7.13158072600027	1.5	GO	LEFT	0.42664852300004	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	7.125	7.13158072600027	7.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.625	0	8.625
9.13391598900034	1.5	GO	RIGHT	0.444812521999665	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	9.125	9.13391598900034	9.125
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	10.625	0	10.625
11.2684360960002	1.5	GO	RIGHT	0.383597801000178	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	11.25	11.2684360960002	11.25
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	12.75	0	12.75
14.5113867350001	1.5	GO	RIGHT	0.38025892099995	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	14.5	14.5113867350001	14.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16	0	16
16.8777302190001	1.5	STOP	LEFT	0.358415415000309	LEFT	5	CorrectResponse	UnsuccessfulStop	0.151091955000084	2	150	-1	16.875	16.8777302190001	16.875
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18.375	0	18.375
19.392875391	1.5	GO	LEFT	0.504631125000287	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	19.375	19.392875391	19.375
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.875	0	20.875
21.8914085240003	1.5	GO	LEFT	0.415714931999901	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	21.875	21.8914085240003	21.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.375	0	23.375
24.0093929780001	1.5	GO	RIGHT	0.376628131999951	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	24	24.0093929780001	24
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.5	0	25.5
26.507958526	1.5	GO	LEFT	0.415683548999823	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	26.5	26.507958526	26.5
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28	0	28
29.768003573	1.5	GO	RIGHT	0.491732264000348	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	29.75	29.768003573	29.75
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	31.25	0	31.25
32.7624990930003	1.5	GO	RIGHT	0.465168275999986	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	32.75	32.7624990930003	32.75
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.25	0	34.25
36.882931177	1.5	GO	LEFT	0.399978562000342	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	36.875	36.882931177	36.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38.375	0	38.375
38.8850946790003	1.5	STOP	RIGHT	0.404772341999887	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.103115160000016	1	100	-1	38.875	38.8850946790003	38.875
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.375	0	40.375
41.3836209190004	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.102066982999986	2	100	1	41.375	41.3836209190004	41.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	42.875	0	42.875
44.0145377880003	1.5	GO	RIGHT	0.471161713000129	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	44	44.0145377880003	44
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	45.5	0	45.5
46.6288952370001	1.5	GO	LEFT	0.373426708999887	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	46.625	46.6288952370001	46.625
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	48.125	0	48.125
50.5175006870004	1.5	STOP	LEFT	0.387211041000228	LEFT	5	CorrectResponse	UnsuccessfulStop	0.153285574000165	2	150	-1	50.5	50.5175006870004	50.5
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52	0	52
54.0088968180003	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0540763340000012	1	50	1	54	54.0088968180003	54
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	55.5	0	55.5
58.0133057739999	1.5	GO	RIGHT	0.490188578000016	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	58	58.0133057739999	58
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	59.5	0	59.5
60.2637633080003	1.5	GO	LEFT	0.363876222000272	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	60.25	60.2637633080003	60.25
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.75	0	61.75
62.6297745300003	1.5	GO	LEFT	0.357540179999887	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	62.625	62.6297745300003	62.625
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	64.125	0	64.125
66.5182073810001	1.5	GO	RIGHT	0.446161542000027	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	66.5	66.5182073810001	66.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	68	0	68
68.6364197480002	1.5	GO	RIGHT	0.402047524999944	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	68.625	68.6364197480002	68.625
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.125	0	70.125
70.7544061250001	1.5	GO	RIGHT	0.3510422319996	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	70.75	70.7544061250001	70.75
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	72.25	0	72.25
73.004714874	1.5	GO	LEFT	0.486705755999992	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	73	73.004714874	73
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.5	0	74.5
75.387364186	1.5	GO	LEFT	0.319070650999947	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	75.375	75.387364186	75.375
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.875	0	76.875
78.630708655	1.5	GO	LEFT	0.422168314999908	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	78.625	78.630708655	78.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	80.125	0	80.125
80.6327684140001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.100391720999596	1	100	1	80.625	80.6327684140001	80.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	82.125	0	82.125
83.0156238240002	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.103069772999788	2	100	1	83	83.0156238240002	83
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	84.5	0	84.5
86.639310995	1.5	GO	RIGHT	0.443687144000251	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	86.625	86.639310995	86.625
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	88.125	0	88.125
89.7667236680004	1.5	GO	LEFT	0.416343615000187	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	89.75	89.7667236680004	89.75
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	91.25	0	91.25
93.506217141	1.5	GO	LEFT	0.36023523599988	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	93.5	93.506217141	93.5
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	95	0	95
96.8818989800002	1.5	GO	RIGHT	0.385409123000045	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	96.875	96.8818989800002	96.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	98.375	0	98.375
98.8840225260001	1.5	GO	RIGHT	0.426101870000366	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	98.875	98.8840225260001	98.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	100.375	0	100.375
101.001988078	1.5	GO	LEFT	0.351964142999805	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	101	101.001988078	101
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	102.5	0	102.5
105.767633583	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.152197773999887	2	150	1	105.75	105.767633583	105.75
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	107.25	0	107.25
108.630200759	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.15082703600001	1	150	1	108.625	108.630200759	108.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	110.125	0	110.125
110.682038415	1.5	GO	RIGHT	0.539137968999967	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	110.625	110.682038415	110.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	112.125	0	112.125
113.015176776	1.5	GO	RIGHT	0.402979137999864	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	113	113.015176776	113
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	114.5	0	114.5
115.017216902	1.5	GO	RIGHT	0.384541499000079	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	115	115.017216902	115
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	116.5	0	116.5
118.012237719	1.5	GO	RIGHT	0.404670807999992	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	118	118.012237719	118
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	119.5	0	119.5
120.130294981	1.5	STOP	RIGHT	0.376870657999916	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.203418576999866	2	200	-1	120.125	120.130294981	120.125
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	121.625	0	121.625
122.264828806	1.5	GO	LEFT	0.626038546000018	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	122.25	122.264828806	122.25
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	123.75	0	123.75
125.25983899	1.5	GO	LEFT	0.359029164000276	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	125.25	125.25983899	125.25
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	126.75	0	126.75
128.883452656	1.5	GO	LEFT	0.423890991999997	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	128.875	128.883452656	128.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	130.375	0	130.375
130.885660234	1.5	STOP	LEFT	0.414484327000082	LEFT	5	CorrectResponse	UnsuccessfulStop	0.203421535999951	1	200	-1	130.875	130.885660234	130.875
0	3.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	132.375	0	132.375
136.131097971	1.5	GO	LEFT	0.487923768000201	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	136.125	136.131097971	136.125
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	137.625	0	137.625
138.381539321	1.5	STOP	LEFT	0.357502415999988	LEFT	5	CorrectResponse	UnsuccessfulStop	0.154645752999841	2	150	-1	138.375	138.381539321	138.375
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	139.875	0	139.875
140.631866211	1.5	GO	LEFT	0.492350126000019	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	140.625	140.631866211	140.625
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	142.125	0	142.125
144.636186311	1.5	GO	RIGHT	0.408588316000078	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	144.625	144.636186311	144.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	146.125	0	146.125
146.886648106	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.153146142999958	1	150	1	146.875	146.886648106	146.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	148.375	0	148.375
149.004639757	1.5	GO	RIGHT	0.492843988000004	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	149	149.004639757	149
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	150.5	0	150.5
151.503180577	1.5	GO	LEFT	0.436238796999987	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	151.5	151.503180577	151.5
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	153	0	153
154.382223642	1.5	GO	RIGHT	0.428750283000227	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	154.375	154.382223642	154.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	155.875	0	155.875
157.013274218	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.102439598000274	2	100	1	157	157.013274218	157
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	158.5	0	158.5
159.62762379	1.5	GO	RIGHT	0.446929884999918	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	159.625	159.62762379	159.625
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	161.125	0	161.125
162.258559701	1.5	GO	RIGHT	0.46387309299962	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	162.25	162.258559701	162.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	163.75	0	163.75
164.508976602	1.5	GO	LEFT	0.44466403999968	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	164.5	164.508976602	164.5
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	166	0	166
167.25586063	1.5	GO	RIGHT	0.420537482999862	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	167.25	167.25586063	167.25
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	168.75	0	168.75
169.390367267	1.5	GO	LEFT	0.50238953600001	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	169.375	169.390367267	169.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	170.875	0	170.875
171.508260157	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.202511983000022	1	200	1	171.5	171.508260157	171.5
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	173	0	173
174.006863628	1.5	GO	LEFT	0.402767294000114	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	174	174.006863628	174
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	175.5	0	175.5
176.505388553	1.5	GO	LEFT	0.433349843000087	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	176.5	176.505388553	176.5
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	178	0	178
179.25220476	1.5	GO	LEFT	0.392778706999707	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	179.25	179.25220476	179.25
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	180.75	0	180.75
182.131376696	1.5	GO	RIGHT	0.551285847999679	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	182.125	182.131376696	182.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	183.625	0	183.625
184.629985985	1.5	GO	RIGHT	0.356841124999846	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	184.625	184.629985985	184.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	186.125	0	186.125
186.632202008	1.5	GO	LEFT	0.370286137000221	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	186.625	186.632202008	186.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	188.125	0	188.125
189.015043898	1.5	GO	RIGHT	0.356327002999933	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	189	189.015043898	189
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	190.5	0	190.5
192.009916195	1.5	STOP	LEFT	0.385924332000286	LEFT	5	CorrectResponse	UnsuccessfulStop	0.254331070000262	1	250	-1	192	192.009916195	192
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	193.5	0	193.5
195.766123987	1.5	STOP	RIGHT	0.398141509999732	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.153485189000094	2	150	-1	195.75	195.766123987	195.75
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	197.25	0	197.25
198.512891794	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.104645731999881	2	100	1	198.5	198.512891794	198.5
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	200	0	200
202.633010992	1.5	STOP	LEFT	0.380376484999942	LEFT	5	CorrectResponse	UnsuccessfulStop	0.200468606999948	1	200	-1	202.625	202.633010992	202.625
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	204.125	0	204.125
206.389301352	1.5	GO	RIGHT	0.496663796000121	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	206.375	206.389301352	206.375
0	3.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	207.875	0	207.875
211.254040558	1.5	GO	LEFT	0.639013153999713	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	211.25	211.254040558	211.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	212.75	0	212.75
213.256105116	1.5	GO	LEFT	0.403127323999797	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	213.25	213.256105116	213.25
