onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0318293460193217	9.48331413200003	6	3	4.5	0.795233073980853	CORRECT	2	28	1.98942030300009	3.00089154700004	0.0318293460193217
11.5212131130195	7.99109143811029	8	5	3	1.62825626598078	INCORRECT	1	28	1.98946297299995	3.00078156311042	11.5212131130195
21.5184889581296	8.0076621848898	2	1	3	1.2850137248704	INCORRECT	1	28	1.98945923299993	3.01732745188974	21.5184889581296
31.5157617231296	8.00770997288987	5	3	3	1.35704045175999	CORRECT	2	28	2.00595917077931	3.01745749677934	31.5157617231296
43.5189975631297	9.49989370699996	3	1	4.5	0.932824760980793	INCORRECT	1	28	1.98950268577914	3.00077093811024	43.5189975631297
59.0205358140195	6.49913737711017	1	1	1.5	2.1701958428705	CORRECT	2	28	1.98956566522065	3.00091549500007	59.0205358140195
71.5212951929088	9.4998519281105	12	7	4.5	0.957252760980737	INCORRECT	2	5	1.9895260191106	3.00083291700003	71.5212951929088
85.0167636081296	9.53307834111047	6	3	4.5	n/a	NO_RESPONSE	1	n/a	1.98949934899997	3.03405382022061	85.0167636081296
96.5061318671296	9.51654170799998	9	5	4.5	0.854272617870492	INCORRECT	2	5	2.00612897677934	3.00086634800005	96.5061318671296
110.018176447019	8.04095852211026	11	7	3	n/a	NO_RESPONSE	2	n/a	1.98953943122069	3.03401707100011	110.018176447019
126.017173294019	8.04091497922082	8	5	3	n/a	NO_RESPONSE	2	n/a	1.98951364522077	3.0339826710001	126.017173294019
138.02048405013	9.49991818900003	9	5	4.5	2.46425161709112	CORRECT	1	5	1.98945856099999	3.00091703722069	138.02048405013
151.515961667019	6.53216735411024	4	3	1.5	n/a	NO_RESPONSE	1	n/a	1.98953950911027	3.03399242299997	151.515961667019
162.027103357909	6.48251946011055	7	5	1.5	1.41632910087037	INCORRECT	1	28	1.98954823122085	2.98425424188963	162.027103357909
172.50525238435	9.51648105877939	6	3	4.5	0.568734431980829	INCORRECT	1	28	2.02266939677929	3.00094045111041	172.50525238435
186.01727781713	6.53223310211047	10	7	1.5	n/a	NO_RESPONSE	1	n/a	1.98948761799988	3.03403222211045	186.01727781713
196.528444930019	6.48250998011031	1	1	1.5	1.72259917798078	CORRECT	2	28	1.98951963800005	2.98422398211028	196.528444930019
209.012551669909	6.54882965499996	10	7	1.5	n/a	NO_RESPONSE	2	n/a	2.00610625500008	3.03392991866872	209.012551669909
219.50722150913	8.00774367088957	2	1	3	2.77235472609141	INCORRECT	2	5	2.00606621688962	3.00082377811054	219.50722150913
237.51230663613	6.5486879698899	7	5	1.5	n/a	NO_RESPONSE	1	n/a	2.00599280777942	3.03394949511062	237.51230663613
252.01909074224	7.99114702188945	5	3	3	0.678065877870267	INCORRECT	1	28	1.98948708877924	3.00083090499993	252.01909074224
264.02240684513	9.49984905388987	3	1	4.5	0.853362185870537	CORRECT	1	5	1.98951209100005	3.00078081488982	264.02240684513
277.517864096909	9.49989299822073	12	7	4.5	0.00457939098055249	CORRECT	2	28	1.98954611833142	3.00088100611015	277.517864096909
289.007191752909	8.00784977699982	11	7	3	1.20299899498059	INCORRECT	1	28	2.00616560922072	3.0008416888893	289.007191752909
301.010688550786	8.00772063234399	2	1	3	0.628480227870341	CORRECT	2	28	2.00595321423361	3.00088627800005	301.010688550786
311.00788497613	8.04085309888978	8	5	3	n/a	NO_RESPONSE	2	n/a	2.0060524278897	3.03394497799991	311.00788497613
321.021714535019	6.49904020100007	10	7	1.5	1.20612914009121	CORRECT	1	5	1.989429406	3.00090742411044	321.021714535019
335.51186553113	6.51564360299994	1	1	1.5	1.15012553198085	INCORRECT	1	28	2.00613917877922	3.00081858411022	335.51186553113
