onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00555992299996433	1.5	STOP	RIGHT	0.362502576999987	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.352844005999941	2	350	-1	0	0.00555992299996433	0
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.14216817199997	1.5	GO	LEFT	0.33899816600001	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	2.125	2.14216817199997	2.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.625	0	3.625
4.64322714399998	1.5	GO	RIGHT	0.312141260999965	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	4.625	4.64322714399998	4.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.125	0	6.125
6.89434435299995	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251434309999922	1	250	1	6.875	6.89434435299995	6.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.375	0	8.375
9.76266594499998	1.5	GO	RIGHT	0.367355839000084	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	9.75	9.76266594499998	9.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.25	0	11.25
12.1472932620001	1.5	GO	LEFT	0.287247707000006	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.1472932620001	12.125
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
15.6324564930001	1.5	GO	LEFT	0.432905836000032	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	15.625	15.6324564930001	15.625
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	17.125	0	17.125
18.884677881	1.5	GO	RIGHT	0.269911567000008	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	18.875	18.884677881	18.875
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.375	0	20.375
21.519260501	1.5	GO	RIGHT	0.362756047000062	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	21.5	21.519260501	21.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23	0	23
24.137325483	1.5	GO	LEFT	0.233229839999922	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	24.125	24.137325483	24.125
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.625	0	25.625
28.504232163	1.5	GO	LEFT	0.344304566999995	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	28.5	28.504232163	28.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30	0	30
30.8909721910001	1.5	GO	RIGHT	0.382630063000079	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	30.875	30.8909721910001	30.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.375	0	32.375
33.759161439	1.5	GO	LEFT	0.450579298999969	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	33.75	33.759161439	33.75
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	35.25	0	35.25
37.394575838	1.5	GO	RIGHT	0.295968844999948	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	37.375	37.394575838	37.375
0	3.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38.875	0	38.875
42.013791448	1.5	STOP	LEFT	0.317460869999991	LEFT	95	CorrectResponse	UnsuccessfulStop	0.302223314999992	2	300	-1	42	42.013791448	42
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43.5	0	43.5
45.130942775	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.300967613000012	1	300	1	45.125	45.130942775	45.125
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	46.625	0	46.625
48.1337715020001	1.5	GO	RIGHT	0.603192725999975	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	48.125	48.1337715020001	48.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.625	0	49.625
50.518494029	1.5	GO	LEFT	0.539114401999996	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	50.5	50.518494029	50.5
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52	0	52
53.520167618	1.5	STOP	LEFT	0.379456374000029	LEFT	95	CorrectResponse	UnsuccessfulStop	0.250929309999947	2	250	-1	53.5	53.520167618	53.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	55	0	55
55.888117276	1.5	STOP	RIGHT	0.265924368000015	RIGHT	92	CorrectResponse	UnsuccessfulStop	0	1	350	-1	55.875	55.888117276	55.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	57.375	0	57.375
57.889131154	1.5	GO	RIGHT	0.342002075999972	LEFT	95	IncorrectResponse	JUNK	0	0	0	0	57.875	57.889131154	57.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	59.375	0	59.375
60.140600841	1.5	GO	LEFT	0.293925201000093	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	60.125	60.140600841	60.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.625	0	61.625
