onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
415.523214727	3	81	INCORRECTLY	2.68291245799992	28	MAYBE_CORRECT	44	0	415.523214727
421.513220257	3	82	CORRECTLY	2.51429995400031	10	MAYBE_INCORRECT	40	64	421.513220257
426.01392387	3	83	CORRECTLY	2.45267392000005	28	MAYBE_CORRECT	28	48	426.01392387
430.084507796	3	84	INCORRECTLY	2.0517276190003	5	SURE_CORRECT	50	0	430.084507796
437.017621487	3	85	INCORRECTLY	2.13705019899953	21	SURE_INCORRECT	72	0	437.017621487
443.503985156	3	86	INCORRECTLY	2.31915648299946	5	SURE_CORRECT	69	0	443.503985156
447.591102659	3	87	CORRECTLY	2.5721348699999	10	MAYBE_INCORRECT	18	34	447.591102659
452.50550087	2	88	CONTROL	2.80198873000063	28	n/a	1000	0	452.50550087
455.583329693	2	89	CONTROL	2.11847293499977	5	n/a	1000	0	455.583329693
462.020006323	3	90	INCORRECTLY	2.04557349799961	10	MAYBE_INCORRECT	61	0	462.020006323
466.073982292	2	91	CONTROL	1.76764669699969	21	n/a	1000	0	466.073982292
470.525107057	3	92	INCORRECTLY	1.66366942100012	5	SURE_CORRECT	73	0	470.525107057
474.579024572	3	93	CORRECTLY	1.74239596000007	5	SURE_CORRECT	29	52	474.579024572
479.510006049999	3	94	CORRECTLY	1.80349612900045	5	SURE_CORRECT	20	36	479.510006049999
484.507257594	2	95	CONTROL	2.20955504300036	28	n/a	1000	0	484.507257594
489.024500126	3	96	CORRECTLY	1.96312889799992	10	MAYBE_INCORRECT	31	54	489.024500126
493.078521245	3	97	CORRECTLY	1.8175116450002	5	SURE_CORRECT	23	40	493.078521245
498.009425042	3	98	CORRECTLY	1.7058438969998	5	SURE_CORRECT	37	60	498.009425042
502.510235282	3	99	CORRECTLY	1.52395412900023	5	SURE_CORRECT	36	59	502.510235282
506.580740917	2	100	CONTROL	1.6958957679999	21	n/a	1000	0	506.580740917
510.005954978	3	101	INCORRECTLY	2.10512616999949	10	MAYBE_INCORRECT	54	0	510.005954978
514.093043853	3	102	CORRECTLY	2.32959104600013	10	MAYBE_INCORRECT	39	63	514.093043853
518.080831433	3	103	CORRECTLY	1.65700517000005	10	MAYBE_INCORRECT	33	56	518.080831433
522.085181785	3	104	CORRECTLY	1.45271295699968	5	SURE_CORRECT	26	45	522.085181785
