subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-10150,session_1,pamenc,9.5608966924,52.2018144747,100602,79.9379827409,1.13430039699,0.559279230906,68.0179317377,764.278794785,38662,189.381812163,2.31419084695,2.31265,2.48075,2.16025,0.00999981999948,0.0429293997586,67.2846298218,0.0298428206499,0,n/a,0,0.00487888352041
sub-10150,session_1,bart,9.46785177756,52.2169487508,100780,80.5187294474,1.14424025366,0.558931579241,66.8558696138,762.339395725,38484,185.928779462,2.29517165187,2.29597666667,2.45728,2.14301,0.019918252891,0.0414313785732,61.1670646667,0.0615905985056,0,n/a,0,0.00587109003745
sub-10150,session_1,scap,9.742322566,54.2498927715,101322,81.8972881271,1.03857771673,0.556454215905,69.8225878108,797.869798215,37942,192.881384321,2.2022017075,2.19048333333,2.39457666667,2.036115,0.0149111537544,0.0342653878033,71.3976898193,0.0263352043455,0,n/a,0,0.00428130883162
sub-10150,session_1,taskswitch,9.65931756916,54.7514434239,101308,82.5280148028,1.18884588262,0.557158412137,68.6246135334,797.164303332,37956,194.00112308,2.19186532011,2.19274333333,2.38523666667,2.0133675,0.0197600355372,0.0341042354703,75.0524597168,0.0276033770265,0,n/a,0,0.00352108639423
sub-10150,session_1,stopsignal,9.7412131417,54.2234717526,101368,82.2478997782,1.02008154589,0.555915781137,69.9596597934,801.194322197,37896,192.44648032,2.18773439939,2.17125666667,2.36731,2.037125,0.0262940478928,0.0351575091481,73.6259918213,0.0190413421385,0,n/a,0,0.00360762396739
sub-10150,session_1,rest,9.70509673146,55.0686516103,101277,81.6970317293,0.973891425698,0.558514441431,68.6402754176,792.877595605,37987,193.984394785,2.27616759946,2.26647333333,2.50934,2.073495,0.00788058903493,0.039359036833,45.374912262,0.0829572521871,0,n/a,0,0.0123331173026
sub-10150,session_1,pamret,9.65329948844,51.5944381645,100538,78.9506396679,1.22746841175,0.558971790619,69.2934176433,762.134169518,38726,188.484048887,2.28636770281,2.27686333333,2.45618666667,2.137175,0.0109875621874,0.0406413674355,73.3912200928,0.0518642875465,0,n/a,0,0.00356681391509
sub-10150,session_1,bht,9.57618973368,55.152989206,101339,83.0089353603,1.0923508445,0.557583669552,67.461232595,794.909314601,37925,195.354095974,2.26675491501,2.24350666667,2.48226666667,2.0914025,0.0620517962173,0.0390105620027,69.7888031006,0.0581308393475,0,n/a,0,0.00382705797468
sub-10159,session_1,pamenc,12.2925305083,39.2123694528,103694,61.6465671692,0.973956075217,0.526141023365,112.808182704,757.792307659,35570,167.054896398,2.11535545938,2.14199,2.32610333333,1.8997825,0.091078104019,0.0373179204762,17.3068389893,0.830124642453,40,n/a,20.3045685279,0.0550712959184
sub-10159,session_1,rest,10.752376726,38.5367801224,103528,64.5733887436,1.12506831159,0.530502024623,89.5559741982,694.317402247,35736,156.019443583,2.03029301794,2.05302,2.20416333333,1.849435,0.0332848693962,0.0214864742011,56.1821212769,0.0810274661344,0,n/a,0,0.00790004013158
