onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0971308150001278	3	1	CORRECTLY	2.32535865499995	10	MAYBE_INCORRECT	3	6	0.0971308150001278
4.5152493290002	3	2	INCORRECTLY	1.56685964300004	10	MAYBE_INCORRECT	55	0	4.5152493290002
13.0203043660003	2	3	CONTROL	1.47258911899962	5	n/a	1000	0	13.0203043660003
16.081482694	3	4	CORRECTLY	3.41572622000012	10	MAYBE_INCORRECT	12	0	16.081482694
21.012427528	3	5	CORRECTLY	0.0130628410001918	10	MAYBE_INCORRECT	8	15	21.012427528
25.0664097180002	2	6	CONTROL	0.0146873469998354	10	n/a	1000	0	25.0664097180002
29.021158256	3	7	INCORRECTLY	0.0137008290002996	10	MAYBE_INCORRECT	59	0	29.021158256
36.003918333	3	8	CORRECTLY	0.0124704730001213	10	MAYBE_INCORRECT	7	13	36.003918333
40.5212409420001	3	9	INCORRECTLY	0.00892454800032283	10	MAYBE_INCORRECT	68	0	40.5212409420001
47.0075967910002	3	10	INCORRECTLY	2.50630798200018	28	MAYBE_CORRECT	64	0	47.0075967910002
51.0781360990004	3	11	CORRECTLY	3.0957570759997	10	MAYBE_INCORRECT	6	12	51.0781360990004
56.0091035990004	2	12	CONTROL	1.52377905200001	5	n/a	1000	0	56.0091035990004
61.519211114	3	13	INCORRECTLY	n/a	n/a	n/a	78	0	61.519211114
65.5732426900004	3	14	CORRECTLY	3.3673362149998	10	MAYBE_INCORRECT	16	31	65.5732426900004
69.5610311390001	3	15	CORRECTLY	0.0134103850000429	10	MAYBE_INCORRECT	14	0	69.5610311390001
75.0049189590004	3	16	CORRECTLY	1.23901217699995	10	MAYBE_INCORRECT	1	3	75.0049189590004
79.0589968620002	3	17	CORRECTLY	3.06482613099979	28	MAYBE_CORRECT	5	11	79.0589968620002
83.5101285130004	3	18	INCORRECTLY	1.44273041199995	10	MAYBE_INCORRECT	51	0	83.5101285130004
90.012955096	3	19	INCORRECTLY	1.90501790500002	10	MAYBE_INCORRECT	47	0	90.012955096
94.0669381120001	3	20	INCORRECTLY	0.0124052800001664	10	MAYBE_INCORRECT	66	0	94.0669381120001
99.0144741860004	3	21	CORRECTLY	0.0137024719997498	10	MAYBE_INCORRECT	10	20	99.0144741860004
103.085047342	3	22	INCORRECTLY	0.00891441000021587	10	MAYBE_INCORRECT	48	0	103.085047342
107.056289918	3	23	INCORRECTLY	0.0138126839997312	10	MAYBE_INCORRECT	52	0	107.056289918
115.015312539	3	24	INCORRECTLY	2.39401249100001	10	MAYBE_INCORRECT	45	0	115.015312539
119.516028796	3	25	CORRECTLY	1.80883949400004	5	SURE_CORRECT	9	18	119.516028796
125.52259425	3	26	INCORRECTLY	1.52426092799988	28	MAYBE_CORRECT	42	0	125.52259425
131.016090752	3	27	INCORRECTLY	1.520119626	21	SURE_INCORRECT	80	0	131.016090752
137.02264354	3	28	CORRECTLY	2.8409056190003	28	MAYBE_CORRECT	2	5	137.02264354
142.019827837	2	29	CONTROL	1.43472278599984	28	n/a	1000	0	142.019827837
145.080948108	3	30	INCORRECTLY	2.3345424260001	10	MAYBE_INCORRECT	56	0	145.080948108
150.508316478	3	31	INCORRECTLY	1.52798758299969	21	SURE_INCORRECT	43	0	150.508316478
155.009186775	3	32	INCORRECTLY	1.28062683100006	10	MAYBE_INCORRECT	58	0	155.009186775
159.509820756	3	33	CORRECTLY	3.046792654	5	SURE_CORRECT	4	9	159.509820756
