onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.078682081109946	3	1	CORRECTLY	3.47004195688896	28	MAYBE_CORRECT	3	6	0.078682081109946
4.5218173589783	3	2	INCORRECTLY	2.30456662901997	28	MAYBE_CORRECT	55	0	4.5218173589783
13.026878041439	2	3	CONTROL	2.11823572256071	5	n/a	1000	0	13.026878041439
16.0774761839784	3	4	CORRECTLY	2.70282658302131	10	MAYBE_INCORRECT	12	0	16.0774761839784
21.0180157757095	3	5	CORRECTLY	2.64664010928936	21	SURE_INCORRECT	8	15	21.0180157757095
25.0634029576777	2	6	CONTROL	2.67956950032203	10	n/a	1000	0	25.0634029576777
29.0093075844088	3	7	INCORRECTLY	1.59325095158965	21	SURE_INCORRECT	59	0	29.0093075844088
36.0222928819785	3	8	CORRECTLY	1.731181475021	10	MAYBE_INCORRECT	7	13	36.0222928819785
40.5151835219785	3	9	INCORRECTLY	1.75189371802117	10	MAYBE_INCORRECT	68	0	40.5151835219785
47.0142557587096	3	10	INCORRECTLY	2.25383345929004	28	MAYBE_CORRECT	64	0	47.0142557587096
51.0761950569795	3	11	CORRECTLY	2.25758836301975	10	MAYBE_INCORRECT	6	12	51.0761950569795
56.0167673977085	2	12	CONTROL	1.41415972829054	5	n/a	1000	0	56.0167673977085
61.5210664849783	3	13	INCORRECTLY	2.42085974402107	28	MAYBE_CORRECT	78	0	61.5210664849783
65.5664048074395	3	14	CORRECTLY	2.30377500655959	21	SURE_INCORRECT	16	31	65.5664048074395
69.5785095034389	3	15	CORRECTLY	1.82252406056068	21	SURE_INCORRECT	14	0	69.5785095034389
75.0165321889781	3	16	CORRECTLY	1.9626022950215	21	SURE_INCORRECT	1	3	75.0165321889781
79.0785388322201	3	17	CORRECTLY	3.16691811677993	5	SURE_CORRECT	5	11	79.0785388322201
83.5216538829791	3	18	INCORRECTLY	2.14020202102074	28	MAYBE_CORRECT	51	0	83.5216538829791
90.0207487319785	3	19	INCORRECTLY	3.26132563902138	5	SURE_CORRECT	47	0	90.0207487319785
94.0660584179786	3	20	INCORRECTLY	2.18692368002121	10	MAYBE_INCORRECT	66	0	94.0660584179786
99.0232531189795	3	21	CORRECTLY	2.17172468601893	10	MAYBE_INCORRECT	10	20	99.0232531189795
103.068570414978	3	22	INCORRECTLY	2.73414187802155	28	MAYBE_CORRECT	48	0	103.068570414978
107.080796044489	3	23	INCORRECTLY	2.46257284450985	5	SURE_CORRECT	52	0	107.080796044489
115.022185452979	3	24	INCORRECTLY	1.91919594801948	28	MAYBE_CORRECT	45	0	115.022185452979
119.515172801839	3	25	CORRECTLY	1.52805896515929	10	MAYBE_INCORRECT	9	18	119.515172801839
125.516815774979	3	26	INCORRECTLY	1.65608548901946	28	MAYBE_CORRECT	42	0	125.516815774979
131.021089127978	3	27	INCORRECTLY	2.07966508301979	10	MAYBE_INCORRECT	80	0	131.021089127978
137.022776614978	3	28	CORRECTLY	2.4073527970213	28	MAYBE_CORRECT	2	5	137.022776614978
142.013167517409	2	29	CONTROL	1.85613165558971	28	n/a	1000	0	142.013167517409
145.080247694708	3	30	INCORRECTLY	2.64303563829162	10	MAYBE_INCORRECT	56	0	145.080247694708
150.518222176139	3	31	INCORRECTLY	1.42201579586072	28	MAYBE_CORRECT	43	0	150.518222176139
155.011167741979	3	32	INCORRECTLY	2.28642787701938	21	SURE_INCORRECT	58	0	155.011167741979
159.504146464678	3	33	CORRECTLY	2.38257813532073	5	SURE_CORRECT	4	9	159.504146464678
167.014501788708	3	34	CORRECTLY	2.40747187229135	28	MAYBE_CORRECT	13	0	167.014501788708
173.513557543978	3	35	CORRECTLY	2.5342657830206	10	MAYBE_INCORRECT	11	21	173.513557543978
178.520449151709	3	36	CORRECTLY	1.61321752829099	10	MAYBE_INCORRECT	15	30	178.520449151709
182.565796741248	3	37	INCORRECTLY	2.32748927975081	5	SURE_CORRECT	46	0	182.565796741248
188.51776834571	2	38	CONTROL	1.79941773328937	28	n/a	1000	0	188.51776834571
193.508113694708	2	39	CONTROL	1.52866044729126	28	n/a	1000	0	193.508113694708
198.017657521708	3	40	INCORRECTLY	1.70707693729128	10	MAYBE_INCORRECT	62	0	198.017657521708
203.024508664979	2	41	CONTROL	1.3698209560207	5	n/a	1000	0	203.024508664979
207.517532487709	2	42	CONTROL	1.25072855228973	10	n/a	1000	0	207.517532487709
211.015695450978	2	43	CONTROL	1.47385070402015	28	n/a	1000	0	211.015695450978
218.509475303979	3	44	INCORRECTLY	2.79591079302008	21	SURE_INCORRECT	49	0	218.509475303979
